date,day,datetime,title,stage,location,event_type,track,speakers,description,description_zh,url
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 9:15 AM - 9:30 AM",Welcome to Singapore FinTech Festival 2026,Festival Stage,"Hall 1, Singapore Expo",Premium,Others,,Watch this space for more information.,更多資訊敬請期待。,https://www.fintechfestival.sg/agenda?session=AGND441-welcome-to-singapore-fintech-festival-2026
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 12:30 PM - 12:45 PM",Quantum Talent: Framing the Pipeline Problem,Catalyst Stage,"Hall 3, Singapore Expo",Open,Talent Rewiring,,"Quantum computing's promise in finance keeps outrunning the workforce built to deliver it, and the shortage of specialists is turning into the binding constraint on how quickly the technology moves from pilot to production. This session frames where that pipeline breaks down — inside universities, inside employers, and inside the policy choices that shape both — before proposing where responsibility should actually sit. Attendees leave with a shared vocabulary for the problem and a clearer sense of which lever is likeliest to move first. One of the key questions the panel will look to dive deeper into: Who owns solving quantum's talent pipeline problem — universities, employers, or governments?",量子運算在金融領域的前景，持續跑在能實現它的人才隊伍之前，而專才短缺正逐漸成為技術從試點走向量產的最大瓶頸。本場次先釐清這條人才管道在哪裡斷裂——在大學裡、在雇主端，以及在形塑兩者的政策選擇裡——再提出責任究竟該由誰承擔。與會者將取得談論這個問題的共同語彙，並更清楚哪一個槓桿最可能先動起來。講者將深入探討的關鍵問題之一：解決量子人才管道問題，責任在誰身上——大學、雇主，還是政府？,https://www.fintechfestival.sg/agenda?session=AGND357-quantum-talent-framing-the-pipeline-problem
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 12:30 PM - 1:00 PM",The Agentic Enterprise: Who's Accountable When the Machine Decides?,Impact Stage,"Hall 3, Singapore Expo",Open,Policy Rewiring,,"Agentic AI has moved from pilots to systems that touch real credit decisions, real client money and real compliance rules, and the institutions getting the governance right this year are setting the ceiling for the next decade. This session examines where accountability sits once an agent, not a person, initiates the action, across risk, audit and reporting lines. Attendees leave with a sharper view of the controls that need to exist before autonomy is extended further. One of the key questions the panel will look to dive deeper into: Who is accountable when an autonomous agent makes a bad call, moves client money, or silently breaks a compliance rule?",代理式 AI 已從試點走向真正觸及授信決策、客戶資金與法遵規則的系統，而今年把治理做對的機構，將決定未來十年的天花板。本場次檢視當發動行動的是代理程式而非人時，問責該落在何處，橫跨風險、稽核與匯報線。與會者將更清楚看出，在進一步擴大自主權之前，必須先存在哪些控制機制。講者將深入探討的關鍵問題之一：當自主代理程式做出錯誤判斷、動用客戶資金，或在無聲無息間違反法遵規則時，該由誰負責？,https://www.fintechfestival.sg/agenda?session=AGND378-the-agentic-enterprise-whos-accountable-when-the-machine-decides
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 12:45 PM - 1:15 PM",Quantum's Scarce Talent Problem: Why the Pipeline Is the Real Constraint,Catalyst Stage,"Hall 3, Singapore Expo",Open,Talent Rewiring,,"Early results in live trading show quantum computing moving the needle on pricing and risk, yet progress remains hostage to a scarcity of people who can build past the pilot stage. This session separates where hybrid quantum-classical systems are already creating value from the hardware limits a bigger team could not simply out-hire. The audience leaves with a realistic read on what quantum can deliver now and what still waits on talent nobody has hired. One of the key questions the panel will look to dive deeper into: is quantum's value in finance real yet, or are compute limits and a thin pipeline of production applications still holding it back?",實盤交易的早期成果顯示，量子運算已在定價與風險上帶來實質差異，但進展仍受制於「能把專案帶出試點階段的人太少」。本場次區分出混合量子—古典系統已經創造價值的環節，以及再多找幾個人也解決不了的硬體極限。聽眾將對量子在當下能交付什麼、又有哪些還卡在尚未招募到的人才上，形成務實的判斷。講者將深入探討的關鍵問題之一：量子在金融的價值已經成真了嗎？還是運算極限與稀薄的量產應用管道仍在拖住它？,https://www.fintechfestival.sg/agenda?session=AGND358-quantums-scarce-talent-problem-why-the-pipeline-is-the-real-constraint
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 1:00 PM - 1:30 PM",AI & Core Banking: Who Regulates the Algorithm? Core Banking's New Compliance Perimeter,Impact Stage,"Hall 3, Singapore Expo",Open,Policy Rewiring,,"Core banking functions such as credit decisions, trade finance, fraud detection and KYC are shifting from pilot demonstrations into live, algorithm-driven workflows, and the institutions pulling ahead are rebuilding these processes end to end rather than adding AI on top of what already exists. This session looks at what that rebuild actually requires: which controls move from human sign-off to automated checkpoints, and where the audit trail needs redesigning rather than retrofitting. The audience leaves with a practical view of what a genuinely rewired core banking stack looks like. The uncomfortable truth underneath it all is that core banking's compliance perimeter was not built for algorithms making the calls.",授信決策、貿易金融、詐欺偵測與 KYC 等核心銀行職能，正從試點展示轉為實際運行、由演算法驅動的工作流程；跑在前面的機構是把這些流程從頭到尾重建，而不是在既有系統上加掛 AI。本場次探討這場重建實際需要什麼：哪些控制點會從人工簽核轉為自動化檢查，以及稽核軌跡在哪些地方必須重新設計、而非事後補強。聽眾將對真正「重新佈線」過的核心銀行架構長什麼樣子，形成務實的認識。而底下那個令人不安的事實是：核心銀行的法遵邊界，從來就不是為「由演算法下判斷」而設計的。,https://www.fintechfestival.sg/agenda?session=AGND379-ai-core-banking-who-regulates-the-algorithm-core-bankings-new-compliance-perimeter
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 1:00 PM - 1:30 PM","Core Banking, Rewired: Learning How Leading Financial Institutions Are Scaling Agentic AI Across the Enterprise",FutureMatters Stage,"Hall 5, Singapore Expo",Premium,Technological Rewiring,,"Core banking use cases such as credit decisioning, trade finance, fraud detection and compliance monitoring are finally moving out of the demo stage, and the institutions pulling ahead are treating agentic AI as a workflow rebuild rather than a feature launch. This session looks at how leading financial institutions are scaling agentic AI end to end across these functions, including where governance and data foundations have to change first. The audience leaves with a working model for what deployment actually requires beyond the pilot. Too many of these rebuilds stall halfway once the workflow, not just the model, has to change.",授信決策、貿易金融、詐欺偵測與法遵監控等核心銀行應用終於走出展示階段，而跑在前面的機構是把代理式 AI 當成一次流程重建，而不是一項功能上線。本場次探討領先的金融機構如何在這些職能之間端到端地擴大代理式 AI，包括治理與資料基礎必須先做哪些改變。聽眾將取得一套可用的模型，理解在試點之後真正的部署需要什麼。太多這類重建工程會在半路停擺——因為要改的不只是模型，而是整條工作流程。,https://www.fintechfestival.sg/agenda?session=AGND406-core-banking-rewired-learning-how-leading-financial-institutions-are-scaling-agentic-ai-across-the-enterprise
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 1:15 PM - 1:45 PM",Agentic Commerce's Trust Gap: The Teams Being Built to Close It,Catalyst Stage,"Hall 3, Singapore Expo",Open,Talent Rewiring,,"The infrastructure for AI-initiated payments is already live, but consumer trust has not caught up to what the technology can already do. This session looks at who is actually resourcing that trust gap, and what a dedicated agentic-commerce team looks like when the customer is software rather than a person. Attendees leave with a sharper sense of where that investment is concentrating and where it is still missing. One of the key questions the panel will look to dive deeper into: consumers still don't trust AI to place an order for them — who is actually going to spend the money to close that gap?",AI 發動支付的基礎建設已經上線，但消費者的信任還沒跟上技術當下的能耐。本場次探討究竟是誰在真正投入資源填補這道信任落差，以及當「客戶」是軟體而非真人時，一支專責的代理式商務團隊該長什麼樣子。與會者將更清楚看出這些投資集中在哪裡、又還缺在哪裡。講者將深入探討的關鍵問題之一：消費者仍然不放心讓 AI 代為下單——究竟誰會真的掏錢來補上這道落差？,https://www.fintechfestival.sg/agenda?session=AGND359-agentic-commerces-trust-gap-the-teams-being-built-to-close-it
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 1:30 PM - 2:00 PM","The FI Enterprise of Tomorrow: What Capabilities, Partnerships and Governance Models Are Required to Build Sustainable Competitive Advantage?",FutureMatters Stage,"Hall 5, Singapore Expo",Premium,Technological Rewiring,,"Flatter hierarchies and human-and-agent teams are already appearing inside the fastest-moving institutions, and the definition of headcount itself is being rewritten before most organisations have decided what replaces it. This session sets out what capabilities, partnerships and governance models a genuinely agentic enterprise needs to build sustainable competitive advantage, rather than a faster version of the old structure. Participants come away with a framework for judging which of their own capability gaps to close first. Few institutions are building those capabilities and governance models before the org chart forces the issue on them.",在腳步最快的機構裡，扁平化的層級與人機協作團隊已經出現，而「人力編制」的定義本身正被改寫——多數組織甚至還沒決定要用什麼取代它。本場次梳理一家真正代理式的企業，需要哪些能力、夥伴關係與治理模式，才能建立可持續的競爭優勢，而不只是把舊結構跑得更快。與會者將帶走一套框架，用來判斷自家哪些能力缺口該先補。真正在組織圖逼上門之前就著手打造這些能力與治理模式的機構，仍屬少數。,https://www.fintechfestival.sg/agenda?session=AGND407-the-fi-enterprise-of-tomorrow-what-capabilities-partnerships-and-governance-models-are-required-to-build-sustainable-competitive-advantage
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 1:30 PM - 2:00 PM",AI Changing Operating Models: Governing the Agentic Enterprise of Tomorrow,Impact Stage,"Hall 3, Singapore Expo",Open,Policy Rewiring,,"Once agents can direct other agents, the org chart itself starts to change shape: hierarchies flatten, headcount gets redefined, and human-and-agent teams become the operating unit rather than the department. This session works through what that redesign means for decision rights, escalation paths and who ultimately owns an outcome when the work is shared between people and systems. Participants come away with a framework for thinking about their own operating model rather than someone else's org chart. What emerges is a genuine gap: institutions are being asked to govern an agentic enterprise before the governance model itself has caught up with what agents can now do.",當代理程式能夠指揮其他代理程式，組織圖本身就開始改變形狀：層級變扁、人力編制被重新定義，人機協作團隊取代部門成為運作單位。本場次梳理這場重新設計對決策權、升級路徑，以及「當工作由人與系統共同完成時，最終由誰為結果負責」意味著什麼。與會者將帶走一套思考自身營運模式的框架，而不是照抄別人的組織圖。從中浮現的是一道真實的落差：機構被要求治理一家代理式企業，而治理模式本身還沒跟上代理程式如今的能耐。,https://www.fintechfestival.sg/agenda?session=AGND380-ai-changing-operating-models-governing-the-agentic-enterprise-of-tomorrow
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 1:45 PM - 4:30 PM",Global Fintech Hackcelerator,Catalyst Stage,"Hall 3, Singapore Expo",Open,Talent Rewiring,,Watch this space for more information.,更多資訊敬請期待。,https://www.fintechfestival.sg/agenda?session=AGND351-global-fintech-hackcelerator
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 2:00 PM - 2:30 PM","Build, Buy, or Keep Sovereign? The Domain-LLM Data Question Regulators Are Asking",Impact Stage,"Hall 3, Singapore Expo",Open,Policy Rewiring,,"Underneath every agentic use case sits a harder technical choice: fine-tune a general model, retrieve against it, or build something smaller and sovereign that never lets sensitive data leave the building. This session works through the trade-offs between those approaches and what the build-versus-buy decision made this year locks in for everything built on top of it. The audience leaves with a clearer sense of which architecture fits their own data, risk appetite and regulatory footprint. One of the key questions the panel will look to dive deeper into: can a bank trust a model it did not build, running on its most sensitive data?",每一個代理式應用底下，都藏著一道更難的技術抉擇：微調通用模型、在其之上做檢索，還是自建一個規模較小、資料永不離開機構的主權模型。本場次梳理這幾條路線的取捨，以及今年做下的自建或外購決定，會為其上所有建設鎖定什麼樣的前提。聽眾將更清楚哪一種架構適合自家的資料、風險胃納與監理範圍。講者將深入探討的關鍵問題之一：銀行能信任一個不是自己打造、卻跑在最敏感資料上的模型嗎？,https://www.fintechfestival.sg/agenda?session=AGND381-build-buy-or-keep-sovereign-the-domain-llm-data-question-regulators-are-asking
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 2:00 PM - 2:15 PM",Programmable Money: Money is Becoming Software,FutureMatters Stage,"Hall 5, Singapore Expo",Premium,Technological Rewiring,,"Digital currencies, tokenised deposits and programmable rails have matured to the point where value can carry its own instructions, conditions and compliance wherever it moves, turning finance from a record-keeping system into one where the rules sit inside the money itself. This session frames what that shift means across payments, trade and capital markets before the sessions that follow dig into each piece. Attendees leave with a shared vocabulary for programmable money and a sense of how far the implications actually reach. Too many institutions are still treating programmable money as a payments upgrade, when it is closer to a new operating system for the balance sheet.",數位貨幣、代幣化存款與可程式化支付軌道已經成熟到讓價值本身可以帶著指令、條件與法遵規則一起移動——金融因此從一套記帳系統，變成規則直接寫在錢裡面的系統。本場次先勾勒這個轉變在支付、貿易與資本市場的意義，後續場次再逐一深入。與會者將取得談論可程式化貨幣的共同語彙，並理解其影響實際延伸到多遠。太多機構仍把可程式化貨幣當成支付系統的升級，但它更接近資產負債表的新作業系統。,https://www.fintechfestival.sg/agenda?session=AGND408-programmable-money-money-is-becoming-software
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 2:15 PM - 2:45 PM",Stablecoins: From Fringe to Framework: The Lessons Emerging From Programmable Finance Pilots,FutureMatters Stage,"Hall 5, Singapore Expo",Premium,Technological Rewiring,,"Stablecoins have moved from crypto curiosity to a regulated payment instrument now that federal legislation is in place and licensed issuance is underway in multiple jurisdictions. This session works through the lessons emerging from early programmable-finance pilots and the real choice institutions face: issue, distribute, custody, or watch deposits quietly migrate elsewhere. The audience leaves with a clearer view of where stablecoins sit in their own product and balance-sheet strategy. One of the key questions the panel will look to dive deeper into: is stablecoin regulation moving fast enough to keep pace with adoption, or is it already behind?",隨著聯邦立法到位、多個司法管轄區開始發放發行執照，穩定幣已從加密貨幣圈的新奇事物，變成受監理的支付工具。本場次梳理早期可程式化金融試點浮現的經驗，以及機構真正要面對的抉擇：自行發行、負責分銷、提供託管，還是眼睜睜看著存款悄悄流向他處。聽眾將更清楚穩定幣在自家產品與資產負債表策略中的定位。講者將深入探討的關鍵問題之一：穩定幣的監理速度跟得上採用速度嗎，還是早就落後了？,https://www.fintechfestival.sg/agenda?session=AGND409-stablecoins-from-fringe-to-framework-the-lessons-emerging-from-programmable-finance-pilots
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 2:30 PM - 2:45 PM",Real-Time Containment: Framing What Happens When Agents Fail,Impact Stage,"Hall 3, Singapore Expo",Open,Technological Rewiring,,"An agent that makes one bad call can touch thousands of accounts before a human notices, and most institutions have never actually rehearsed what stopping that looks like. This short framing session sets up the containment problem: what a kill switch needs to cover, how fast it needs to fire, and who is authorised to pull it. It gives the audience the vocabulary and the stakes before the fuller discussion that follows. The honest starting point is that containing an agent's mistake before it cascades is still mostly theoretical, because most institutions have not tested what containment actually looks like.",一個代理程式的錯誤判斷，可能在人察覺之前就已觸及數千個帳戶，而多數機構其實從未演練過「該怎麼把它停下來」。這場簡短的開場梳理圍堵問題：緊急停止機制要涵蓋什麼、必須多快啟動，以及誰有權按下去。它為後續更完整的討論鋪陳語彙與利害關係。誠實的起點是：要在代理程式的錯誤擴散之前把它圍堵住，目前多半仍停留在理論——因為多數機構根本沒測試過圍堵實際長什麼樣子。,https://www.fintechfestival.sg/agenda?session=AGND382-real-time-containment-framing-what-happens-when-agents-fail
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 2:45 PM - 3:15 PM","When an Agent's Mistake Cascades in Seconds, What Does Real-Time Containment Look Like?",Impact Stage,"Hall 3, Singapore Expo",Open,Technological Rewiring,,"When an agent's error is not caught by a human but by another system, the window for stopping it shrinks from days to seconds, and few institutions have built for that timescale. This session moves past the framing to the mechanics: circuit breakers, transaction limits, rollback procedures and monitoring that runs continuously rather than on a schedule. Attendees leave with a working checklist of what real-time containment needs to include before it is tested for real. One of the key questions the panel will look to dive deeper into: when an agent's mistake cascades across thousands of accounts in seconds, what does real-time containment actually look like?",當代理程式的錯誤不是被人發現、而是被另一套系統發現時，可供制止的時間窗會從數天縮短到數秒，而少有機構是按這個時間尺度打造的。本場次跳過鋪陳，直接談機制：斷路器、交易限額、回滾程序，以及持續運行而非定期執行的監控。與會者將帶走一份可用的檢核清單，列出即時圍堵在真正上場之前必須具備什麼。講者將深入探討的關鍵問題之一：當代理程式的錯誤在數秒內擴散到數千個帳戶，即時圍堵實際上長什麼樣子？,https://www.fintechfestival.sg/agenda?session=AGND383-when-an-agents-mistake-cascades-in-seconds-what-does-real-time-containment-look-like
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 2:45 PM - 3:15 PM","RWA & Tokenization: The Balance Sheet Goes On-Chain: Compressing Settlement, Unlocking Collateral Mobility, Reaching New Investors",FutureMatters Stage,"Hall 5, Singapore Expo",Premium,Technological Rewiring,,"Tokenised Treasuries, funds and credit have grown sharply, and the institutions ahead are tokenising for the compliance and settlement advantage rather than for novelty. This session examines how tokenisation compresses settlement, unlocks collateral mobility and reaches investors the old wrappers could not. Attendees leave with a practical read on which asset classes are ready now and which still need market infrastructure to catch up. The real test is whether institutions are tokenising real-world assets for the compliance win rather than the novelty, so settlement and collateral mobility genuinely improve.",代幣化的國庫券、基金與信貸產品成長迅速，而領先的機構是為了法遵與結算上的優勢而代幣化，不是為了嚐鮮。本場次檢視代幣化如何壓縮結算時間、釋放擔保品的流動性，並觸及舊有架構接不到的投資人。與會者將務實掌握哪些資產類別已經就緒，哪些還要等市場基礎建設跟上。真正的考驗在於：機構代幣化實體資產，是為了法遵上的實質收穫、而非新鮮感，讓結算與擔保品流動性真的變好。,https://www.fintechfestival.sg/agenda?session=AGND410-rwa-tokenization-the-balance-sheet-goes-on-chain-compressing-settlement-unlocking-collateral-mobility-reaching-new-investors
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 3:15 PM - 3:30 PM",Quantum Secure: Framing the Harvest-Now Threat,Impact Stage,"Hall 3, Singapore Expo",Open,Policy Rewiring,,"Long before a quantum computer capable of breaking today's encryption exists, adversaries are already copying encrypted financial data with the intention of unlocking it later, which makes the threat present tense rather than theoretical. This short session frames the harvest-now, decrypt-later problem: what is being captured now, what it exposes, and why waiting for the hardware to arrive is already too late as a strategy. It sets up the scale of the migration ahead for the discussion that follows. The problem nobody has fully claimed yet is that today's encrypted financial secrets are already being harvested for a decryption that has no clear owner assigned to fixing it.",在能破解現行加密的量子電腦問世之前很久，對手就已經在複製加密後的金融資料，打算日後再解開——這讓威脅是現在進行式，而非理論假設。這場簡短場次梳理「先擷取、後解密」的問題：現在被擷取的是什麼、會暴露什麼，以及為什麼「等硬體出現再說」作為策略早已太遲。它為後續討論鋪陳這場遷移工程的規模。目前還沒有人真正認領的難題是：今天的加密金融機密已經在被擷取，而該由誰負責修補這件事，還沒有明確歸屬。,https://www.fintechfestival.sg/agenda?session=AGND384-quantum-secure-framing-the-harvest-now-threat
