day,datetime,title,stage,location,event_type,track,speakers,description,description_zh,url
"Tue, 11 Nov","Tue, 11 Nov | 9:00 AM - 10:30 AM",Greenovation in ASEAN’s built sector: Driving collaborative strategies and actionable outcomes,Insights Forum,"Roundtable Room 1, Sands Expo & Convention Centre, Level 4",Invite-Only,Sustainability in Action,Amy Ramli; Ang Kian Seng; Caroline Stern; Corrado Forcellati; Courtney Lutterman; David Craig; Wujuan Lin; Elke Kornalijnslijper; Esther An; Henry Woon; Joe Phelan; Shantakumar Bannirchelvam; Lee Bing Yi,"As ASEAN’s real estate sector continues its journey towards net zero, regulators, developers, financiers, and solution providers must work together to scale the most effective strategies for decarbonising commercial projects across the region. This session will spotlight actionable and innovative approaches to reduce both operational and Scope 3 emissions, while aligning incentives across developers, landlords, and tenants.",隨著ASEAN房地產業持續邁向淨零目標，監管機構、開發商、金融業者與解決方案提供商必須攜手合作，擴大推廣區域內商業項目脫碳的最有效策略。本場次將聚焦於可落地執行的創新方法，以降低營運排放及範疇三排放，同時協調開發商、業主與租戶之間的利益誘因。,https://www.fintechfestival.sg/agenda/agn160-greenovation-in-aseans-built-sector-driving-collaborative-strategies-and-actionable-outcomes
"Tue, 11 Nov","Tue, 11 Nov | 9:00 AM - 10:00 AM","Connecting Europe’s Financial Ecosystem: GFTN, Point Zero Forum, and Finmonda in Action",Insights Forum,"Workshop Room 1, Sands Expo & Convention Centre, Level 4",Open,Others,Matthias Kröner; Toluth Apalowo,"Join this session to explore how GFTN Europe connects financial institutions, policymakers, and technology leaders to shape the future of finance across the continent.

Discover how to engage directly with European regulators and financial leaders through collaborative initiatives and policy dialogues. Learn about participation opportunities at Point Zero Forum 2026 in Zurich, the global platform driving innovation at the intersection of finance and technology.

Experience Finmonda in action — our new digital platform designed to enable real-time collaboration, project tracking, and impact measurement across the financial ecosystem.","加入本場次，探索GFTN Europe如何連結金融機構、政策制定者與科技領袖，共同塑造歐洲金融的未來。

了解如何透過合作倡議與政策對話，直接與歐洲監管機構及金融領袖建立連結。掌握2026年於蘇黎世舉辦的Point Zero Forum的參與機會，這是引領金融與科技交匯創新的全球旗艦平台。

親身體驗Finmonda的實際運作——我們全新推出的數位平台，專為實現整個金融生態系統中的即時協作、專案追蹤與影響衡量而設計。",https://www.fintechfestival.sg/agenda/agn248-connecting-europes-financial-ecosystem-gftn-point-zero-forum-and-finmonda-in-action
"Tue, 11 Nov","Tue, 11 Nov | 9:15 AM - 10:45 AM",Next Gen Financial Services: Industry AI adoption & the rise of AI agents,Insights Forum,"Roundtable Room 2, Sands Expo & Convention Centre, Level 4",Invite-Only,Roadmap for AI and Quantum,Caesar Sengupta; Chris Brandon; Christine Graham; Daniel Ross; Elemi Atigolo; Jessica Rusu; Morito Emi; Patrik Bless; Simran Singh; Takaya Sugino; Victoria Sanchez-Terry; Yao Yuhui; Yuhui Tian; Zhang Tao; Eugene Goh,"Join a dynamic mix of financial industry leaders, technologists and regulators to discuss the upcoming global trends, use cases and risks in AI-in-finance adoption as well as a possible roadmap to guide the pervasive but safe adoption of AI across the financial sector.",加入金融業領袖、科技專家與監管機構的跨界對話，共同探討AI在金融領域應用的全球趨勢、應用場景與潛在風險，以及如何制定一套可行的路線圖，引導AI在整個金融業中廣泛且安全地落地應用。,https://www.fintechfestival.sg/agenda/agn62-next-gen-financial-services-industry-ai-adoption-the-rise-of-ai-agents
"Tue, 11 Nov","Tue, 11 Nov | 9:30 AM - 11:00 AM",Impact of US stablecoin and crypto regulations on global token payment providers,Insights Forum,"Roundtable Room 3, Sands Expo & Convention Centre, Level 4",Invite-Only,Blueprint for Digital Assets,David Katz; Debra Brookes; Elise Soucie Watts; Emma Butterworth; Nicole Sandler; Peter Goodrich; Peter Kerstens; Rosemary Lim; Tom Duff Gordon; Foo Chek-Tchung,"Many are watching digital asset regulatory developments in the US with great interest, particularly in crypto-based payment tokens such as stablecoins. Stablecoins' usage as digital payment tokens with value stabilising mechanisms for instance is gaining traction just as the U.S. seeks to clarify definitions and tighten obligations with the passing of the GENIUS Act in July 2025.

Finalised details of the Act are expected by January 2027. While the market could expect this to spur further interest in crypto assets, particularly stablecoins, it also asks the important questions of “can stablecoins be supervised at scale?” and how the Act will influence product design, and reserve and redemption rules, among other things. As rules around cryptoassets are being clarified around the world, this coincides with banks piloting tokenised deposits, raising fresh questions about proportionate regulatory treatment, coexistence and interoperability.

This roundtable brings regulators and token payment providers, including stablecoin issuers, together for a frank examination on the impact of US regulatory clarity on stablecoins and crypto assets, and how other global regulatory regimes are aligned or diverged in practice. This session will also look at the appropriate responses to further promote regulatory alignment and cooperation to ensure the safe and secure cross-border use of stablecoins and other digital assets.","目前，業界正高度關注美國數位資產監管的最新動向，尤其是針對穩定幣等加密貨幣支付代幣的相關法規。以穩定幣作為具備價值穩定機制的數位支付代幣，其應用正日益普及；與此同時，美國於2025年7月通過《GENIUS法案》，試圖釐清定義、強化義務要求。

該法案的最終細節預計於2027年1月前確定。市場預期此舉將進一步刺激加密資產（尤其是穩定幣）的市場興趣，但同時也引發了重要問題：「穩定幣能否實現規模化監管？」以及該法案將如何影響產品設計、儲備及贖回規則等。隨著全球各地對加密資產的監管規則逐步明朗，銀行也正試點代幣化存款，進一步引發了關於相稱性監管待遇、共存與互通性等新問題。

本次圓桌論壇將匯聚監管機構及包括穩定幣發行商在內的代幣支付服務商，坦誠評估美國在穩定幣及加密資產方面監管明朗化的影響，以及全球其他監管制度與之的異同。本場次亦將探討促進監管協調與合作的適切回應措施，以確保穩定幣及其他數位資產的跨境使用安全可靠。",https://www.fintechfestival.sg/agenda/agn56-impact-of-us-stablecoin-and-crypto-regulations-on-global-token-payment-providers
"Tue, 11 Nov","Tue, 11 Nov | 9:45 AM - 11:15 AM","The next frontier of cross-border digital finance: Building trusted, inclusive and interoperable payment ecosystems",Insights Forum,"Roundtable Room 5, Sands Expo & Convention Centre, Level 4",Invite-Only,Next-Gen Transactions,Andrew McCormack; Ankur Jakhwal; Avishek Chandra; Joseph Cleetus; Holly Dorber; Kevin Kang; Ling Wu; Maxim Nescheret; Nilixa Devlukia; Paul Albano; Rhidoi Krishnakumar; Yang Wenhui; Monica Jasuja,"Cross-border digital payments are now a frontline issue for regulators, financial institutions, and fintechs alike. With trade flows expanding, SMEs digitalising and consumers demanding seamless access to global commerce, the stakes have never been higher. Yet persistent barriers from fragmented infrastructure and regulatory divergence to fraud and trust gaps still slow adoption and create uneven access, especially for underserved communities and SMEs.

This roundtable convenes regulators, financial institutions and leading fintechs to map out the next evolution of cross-border finance. This discussion will highlight interoperability, responsible innovation and financial inclusion as the core drivers shaping tomorrow's digital corridors.","跨境數位支付如今已成為監管機構、金融機構與金融科技業者共同面對的前線議題。隨著貿易流量擴大、SME加速數位化，以及消費者對無縫接入全球商業的需求日益強烈，各方面臨的壓力從未如此之大。然而，從基礎設施碎片化、監管分歧，到詐欺風險與信任落差等長期存在的障礙，仍在拖緩採用步伐，並為弱勢群體及SME造成不均等的接入機會。

本次圓桌論壇匯聚監管機構、金融機構及領先金融科技業者，共同繪製跨境金融的下一步演進藍圖。討論將聚焦於互通性、負責任的創新與金融包容性，以此作為塑造未來數位走廊的核心驅動力。",https://www.fintechfestival.sg/agenda/agn173-the-next-frontier-of-cross-border-digital-finance-building-trusted-inclusive-and-interoperable-payment-ecosystems
"Tue, 11 Nov","Tue, 11 Nov | 10:00 AM - 11:00 AM",Stablecoins in Action: Powering Real-World Use Cases in Real-Time Across Asia and Beyond,Insights Forum,"Workshop Room 2, Sands Expo & Convention Centre, Level 4",Open,Others,Khibar Rassul; Nick Mussallem; Terry Kim; Tianwei Liu; Bernice Neo; Justin Kim,"The curation of content was wholly managed by the speakers and does not reflect the views of the organisers or its staff.

This session will provide a strategic deep dive into the evolving landscape of stablecoins across Asia with a focus on live real-world applications.

Attendees will gain insights into how stablecoins are addressing inefficiencies, enabling new financial infrastructure and meeting critical regulatory requirements.

Key discussion points will include:",,https://www.fintechfestival.sg/agenda/agn244-stablecoins-in-action-powering-real-world-use-cases-in-real-time-across-asia-and-beyond
"Tue, 11 Nov","Tue, 11 Nov | 10:30 AM - 11:30 AM","Faster, cheaper, smarter: Redefining cross-border payments in the digital age - Powered by Swift",Insights Forum,"Workshop Room 3, Sands Expo & Convention Centre, Level 4",Open,Others,Anupam Pahuja; Kevin Tay; Qaiser Anwarudin; Avanee Gokhale,"The curation of content and speakers was wholly managed by Swift and does not reflect the views of the organisers or its staff.

How can the industry meet customers’ increasing expectations for speed, cost, transparency, and user experience?

As customers increasingly demand faster transfers, lower costs, greater transparency, and seamless digital experiences, providers face mounting pressure to innovate. This panel session will bring together experts from across the payments ecosystem to explore the evolving landscape of cross-border transactions. They will look behind the latest data for speed, identify current pain points; and provide actionable insights on what needs to change when it comes to technology, regulation, standards and infrastructure, to ensure cross-border payments are as seamless as domestic ones.","本場次的內容策劃與講者邀請全由Swift負責，不代表主辦單位或其工作人員的立場。

金融業如何滿足客戶對速度、成本、透明度與使用者體驗日益提升的期望？

隨著客戶對更快匯款速度、更低成本、更高透明度與無縫數位體驗的需求持續攀升，服務提供商承受著日益沉重的創新壓力。本場小組討論將匯聚支付生態系統各方專家，深入探討跨境交易的演變格局。他們將解讀最新速度數據背後的深層邏輯，指出當前痛點，並就科技、法規、標準與基礎設施等層面提出切實可行的洞見，以期使跨境支付達到與境內支付同等流暢的水準。",https://www.fintechfestival.sg/agenda/agn150-faster-cheaper-smarter-redefining-cross-border-payments-in-the-digital-age-powered-by-swift
"Tue, 11 Nov","Tue, 11 Nov | 10:30 AM - 12:30 PM",Japan in the Spotlight - Connecting Financial Corridors across Asia,Insights Forum,Launchpad Room,Open,Blueprint for Digital Assets,Masao Shimazaki; Kentaro Ogata; Taiki Sakata; Natalie Shiori Fleming; Nobuyasu Sugimoto; Teppei Terada; Yo Nakagawa; Aya Miyaguchi; Weena Llona; Oranuch (Mimee) Lerdsuwankij; Pieter Franken; Chia Tek Yew; Takeshi Kito,"Latest Update :

Global finance is being reshaped by digital innovation, evolving regulations, and surging cross-border investment flows. As markets become more interconnected yet face periodic fragmentation from geopolitical shifts, leading economies are seeking to balance resilience with openness.

Japan stands at the crossroads of Asia's financial future. By combining robust governance with market-driven innovation, Japan is building seamless networks that link Tokyo, ASEAN, and beyond. Through advanced regulatory frameworks for digital assets and strategic cross-border partnerships, Japan is setting the pace for Asia's financial transformation.

This special spotlight brings together senior leaders from Japan's banking, insurance, regulatory, and digital asset sectors to explore Japan's leadership role in driving regional integration, pioneering digital finance frameworks, and connecting financial corridors that unlock new opportunities for investors, businesses, and institutions across Asia.

Agenda:

10:30am - Welcome Note and Musical Performance

10:35am - Opening Remarks by Japan Financial Services Agency (JFSA)

10:45am - Keynote - ""Why Japan Now?""

11:05am - Panel: The Leadership role of Japan in a Rising Asia

11:35am - Panel: How Japan is leading the revolution in Digital Assets across borders

12:00pm - Panel: Connecting Financial Corridors from Japan

12:25pm - Closing Remarks by GFTN","最新消息：

數位創新的浪潮、監管環境的演變，以及跨境投資流量的激增，正深刻重塑全球金融格局。在各市場加速互聯互通之際，地緣政治的波動也帶來週期性的碎片化風險，促使各主要經濟體積極尋求在韌性與開放之間取得平衡。

日本站在亞洲金融未來的十字路口。透過將穩健的治理機制與市場驅動的創新相結合，日本正構建起連結東京、ASEAN及更廣泛地區的無縫金融網絡。憑藉先進的數位資產監管框架與戰略性的跨境合作夥伴關係，日本正引領亞洲金融轉型的步伐。

本場特別聚焦論壇將匯聚日本銀行業、保險業、監管機構及數位資產領域的高階領袖，共同探討日本在推動區域整合、引領數位金融框架創新，以及構建跨境金融走廊以為全亞洲投資者、企業和機構開拓新機遇方面的領導角色。

議程：

上午10:30 – 歡迎致詞及音樂表演

上午10:35 – 日本金融廳（JFSA）開幕致詞

上午10:45 – 主題演講——「為何是日本？為何是現在？」

上午11:05 – 小組討論：日本在崛起的亞洲中的領導角色

上午11:35 – 小組討論：日本如何引領跨境數位資產革命

中午12:00 – 小組討論：從日本出發，連結全球金融走廊

下午12:25 – GFTN閉幕致詞",https://www.fintechfestival.sg/agenda/agn174-japan-in-the-spotlight-connecting-financial-corridors-across-asia
"Tue, 11 Nov","Tue, 11 Nov | 10:30 AM - 11:30 AM",Inside the Institutional Shift: Breaking News in Digital Assets - Powered by Kaleido,Insights Forum,"Workshop Room 1, Sands Expo & Convention Centre, Level 4",Open,Others,Conan French; Javier Garcia; Sophia Lopez; Parag Monteiro,"The curation of content and speakers was wholly managed by Kaleido and does not reflect the views of the organisers or its staff.

As digital assets go mainstream, institutions are racing to modernise the rails of finance. Join Sophia Lopez, Javier Garcia and Conan French for a deep dive into the technologies and standards behind the next wave of tokenised deposits, programmable payments, and interoperable networks that are redefining market infrastructure across the globe.","本場次的內容策劃與講者邀請全由Kaleido負責，不代表主辦單位或其工作人員的立場。

隨著數位資產逐步進入主流，各機構正競相現代化金融基礎架構。誠邀您與Sophia Lopez、Javier Garcia及Conan French一同深入探討支撐下一波代幣化存款、可程式化支付與互通網絡的技術與標準，這些創新正在重新定義全球的市場基礎設施。",https://www.fintechfestival.sg/agenda/agn130-inside-the-institutional-shift-breaking-news-in-digital-assets-powered-by-kaleido
"Tue, 11 Nov","Tue, 11 Nov | 11:00 AM - 12:30 PM",SME banking leaders’ league: From groundbreaking to game-changing,Insights Forum,"Roundtable Room 1, Sands Expo & Convention Centre, Level 4",Invite-Only,Bridging the Financial Gap,Aditya Sharma; John David Yap; Kara Byun; Kelvin Teo; Manu Panda; Maxim Afanasyev; Melis Özdeğirmenci; Ng Say Ling; Philip Sigwart; Rajeev Chalisgaonkar; Qamar Saleem,"Following the successful discussion of the SME Banking Leaders’ League in the Global SME Finance Forum in Johannesburg, the Singapore edition at the Insights Forum will continue to shape actionable recommendations on the future of SME financial services to refine and globalise the League’s agenda.

The SME Banking Leaders league is an ongoing group of leaders who form a recently created thinktank led by SME Finance Forum members. Objective would be for the recommendations to be taken forward by the core league and turn into an actionable plan with key milestones agreed.

1. Access to Markets – From Trade Corridors to Digital Marketplaces

2. Access to Skills – Digital Fluency and AI Readiness

3. Access to Finance – New Instruments and new players","繼在約翰尼斯堡舉辦的Global SME Finance Forum中SME Banking Leaders' League的成功討論之後，新加坡版本的Insights Forum將延續這一勢頭，進一步深化對SME金融服務未來發展的可行性建議，以完善並拓展聯盟的全球議程。

SME Banking Leaders League是一個由SME Finance Forum成員主導、近期成立的智庫性質的持續性領袖小組。其目標是推動核心聯盟成員將各項建議轉化為具體行動計劃，並達成關鍵里程碑的共識。

1. 市場准入——從貿易走廊到數位市場

2. 技能獲取——數位素養與AI應用準備度

3. 融資獲取——新型金融工具與新興市場參與者",https://www.fintechfestival.sg/agenda/agn78-sme-banking-leaders-league-from-groundbreaking-to-game-changing
"Tue, 11 Nov","Tue, 11 Nov | 11:15 AM - 12:45 PM",Building global AI competencies in financial services,Insights Forum,"Roundtable Room 2, Sands Expo & Convention Centre, Level 4",Invite-Only,Roadmap for AI and Quantum,Donald MacDonald; David Hardoon; Geraldine Wong; Zhao Jingyuan; Jefferson Chen; Kieran White; Kishore KV; Mark Czajkowski; Nicolas de Skowronski; Richard Lowe; Ronald Chen; Yip Shue Heng; Alan Lim,"The roundtable will focus on discussing key use cases across the financial sector and identifying the underlying common AI components, such as AI models and guardrails. We will explore how different financial institutions could collaborate to build shared AI components for the sector. These common components could enable financial institutions to build their own AI applications more efficiently whilst focusing on differentiated services. This ecosystem approach will reduce duplicate efforts across the industry and speed up the AI adoption.",本次圓桌論壇將聚焦於探討金融業各領域的關鍵應用場景，並識別其背後共通的AI核心組件，例如AI模型與護欄機制。我們將探索不同金融機構如何協作，共同建構業界共享的AI基礎組件。這些通用組件能幫助各金融機構更高效地開發自有AI應用，同時專注於差異化服務的打造。這種生態系統化的方式將減少業界重複投入，並加速AI在整個行業中的採用。,https://www.fintechfestival.sg/agenda/agn77-building-global-ai-competencies-in-financial-services
"Tue, 11 Nov","Tue, 11 Nov | 11:30 AM - 1:00 PM","Advancing cross-border DLT infrastructure through shared governance, interoperability, and roadmaps",Insights Forum,"Roundtable Room 3, Sands Expo & Convention Centre, Level 4",Invite-Only,Blueprint for Digital Assets,Amy Lee; Andrew Brinson; Elli Androulaki; Mark Staples; Jean-Marc Stenger; Kara Kennedy; Lukas Jakubonis; Morten Lilleøre; Philippe Laurensy; Thierry Chilosi; Sandra Ro,"Over the past ten years, cross-border distributed ledger technology (DLT) has emerged as a viable next-generation solution for financial market infrastructure (FMI), offering advancements in real-time settlement, improved efficiencies and cost-savings, global integration, and financial innovation. Yet, despite its promise, DLT has yet to fundamentally transform today’s financial markets, and has remained limited to niche pilots and production deployments.

Following a roundtable identifying the key hurdles DLT faces today at the Point Zero Forum 2025, this session aims to move the conversation forward by developing shared roadmaps for the systemic adoption of DLT as FMI across major European financial centres. The conversation could cover:

• The roles that public and private financial institutions as well as technology providers will play in a DLT-world

• The institutional arrangements that could drive coordinated adoption of DLT, from collective governance bodies, à la Swift, to the development of shared, cross-border sandboxes

• The interoperability standards and approaches to DLT that can achieve industry-wide buy-in and enable collective movement towards FMI

• The technical playbooks and roadmaps that will support financial institutions in progressing along their DLT journeys, from identifying low-hanging use cases to scaling successful pilots and partnering with other institutions","過去十年間，跨境分散式帳本技術（DLT）已作為金融市場基礎設施（FMI）的下一代可行方案嶄露頭角，在即時結算、效率提升與成本節省、全球整合及金融創新等方面展現出顯著優勢。然而，儘管前景可期，DLT尚未從根本上變革當今的金融市場，其應用仍局限於利基型試驗及小規模生產部署。

繼Point Zero Forum 2025的圓桌論壇識別出DLT當前所面臨的主要障礙後，本場次旨在推進對話，為歐洲各主要金融中心系統性採用DLT作為FMI制定共同路線圖。討論議題可能涵蓋：

• 在DLT生態中，公共及私人金融機構以及科技服務商各自扮演的角色

• 能夠推動DLT協調採用的制度安排，包括類似Swift的集體治理機構，以及跨境共享沙盒的建立

• 能夠獲得業界廣泛認可並推動整體向FMI邁進的DLT互通性標準與方法

• 支持金融機構推進DLT落地的技術手冊與路線圖，涵蓋從識別低垂果實用例，到擴大成功試點規模及與其他機構建立合作夥伴關係等各個層面",https://www.fintechfestival.sg/agenda/agn73-advancing-cross-border-dlt-infrastructure-through-shared-governance-interoperability-and-roadmaps
"Tue, 11 Nov","Tue, 11 Nov | 11:45 AM - 1:15 PM",Securing the future of finance: Real-time collaboration against illicit activity in the digital asset ecosystem,Insights Forum,"Roundtable Room 5, Sands Expo & Convention Centre, Level 4",Invite-Only,Securing the Future,Ari Redbord; Dane Shelly; Clara Guerra; Herman Schueller; Kah Kit Yip; Matthias Obrecht; Nils Andersen-Röed; Peter Kerstens; Rosemary Lim; Sam Lamour; Elise Soucie Watts,"Illicit crypto flows are growing more complex and AML playbooks need to keep up. This roundtable with global crypto platforms, financial institutions, blockchain intelligence and regulators tackles the real-world risks, gaps and investigations shaping the response to financial crime today.

The conversation will explore:","非法加密貨幣資金流動日趨複雜，AML應對策略必須與時俱進。本次圓桌論壇匯聚全球加密平台、金融機構、區塊鏈情報機構及監管機構，共同面對當今金融犯罪應對工作中的真實風險、現有缺口與調查挑戰。

討論將深入探討：",https://www.fintechfestival.sg/agenda/agn159-securing-the-future-of-finance-real-time-collaboration-against-illicit-activity-in-the-digital-asset-ecosystem
"Tue, 11 Nov","Tue, 11 Nov | 12:00 PM - 1:00 PM",Tyme Group Investor Update - Powered by Tyme Group,Insights Forum,"Workshop Room 1, Sands Expo & Convention Centre, Level 4",Open,Others,Aaron Foo; Charmaine Padayachy; Coen Jonker,"The curation of content and speakers was wholly managed by Tyme Group and does not reflect the views of the organisers or its staff.

Recognised by TIME as one of the 100 Most Influential Companies in 2025, Tyme Group’s meteoric customer growth and solid progress towards profitability are underpinned by a technology-led strategy and long-term vision for digital banking. Join us as we share our journey so far and our outlook for the decade ahead. This session comprises a presentation of our latest results, strategic highlights and market insights.","本場次的內容策劃與講者邀請全由Tyme Group負責，不代表主辦單位或其工作人員的立場。

Tyme Group曾獲TIME評選為2025年度全球百大最具影響力企業之一，其客戶規模的快速增長及穩健的盈利進程，均奠基於以科技為核心的戰略佈局與對數位銀行業的長遠願景。誠邀您加入我們，分享迄今為止的發展歷程及對未來十年的展望。本場次將包含最新業績報告、戰略亮點及市場洞察。",https://www.fintechfestival.sg/agenda/agn243-tyme-group-investor-update-powered-by-tyme-group
"Tue, 11 Nov","Tue, 11 Nov | 1:00 PM - 2:30 PM","Quantum roadmaps to resilience: Navigating risk, architecting ultimate advantage in finance",Insights Forum,"Roundtable Room 4, Sands Expo & Convention Centre, Level 4",Invite-Only,Roadmap for AI and Quantum,Anton Ruddenklau; Azleena Idris; Colin Payne; Hart Montgomery; Philip Intallura; Drew Propson; Michael Biercuk; Ray Harishankar; Romi Sumaria; Stephanie King-Chung Hung; Camilla Bullock; Andrzej Gwizdalski,"As quantum disruption approaches, the financial sector must act now to secure encryption, talent, and regulatory alignment. This roundtable brings together quantum experts, regulators and financial leaders to map practical strategies for post-quantum transition, addressing cryptographic threats, operational readiness, and global standards.",隨著量子運算時代的臨近，金融業必須立即採取行動，確保加密安全、儲備人才並達成監管對齊。本次圓桌論壇匯聚量子技術專家、監管機構與金融領袖，共同規劃後量子轉型的實務策略，應對密碼學威脅、提升運營準備度，並推動全球標準的制定。,https://www.fintechfestival.sg/agenda/agn63-quantum-roadmaps-to-resilience-navigating-risk-architecting-ultimate-advantage-in-finance
"Tue, 11 Nov","Tue, 11 Nov | 1:00 PM - 2:30 PM",Tokenised capital markets: Opportunities for emerging economies and SMEs,Insights Forum,"Roundtable Room 1, Sands Expo & Convention Centre, Level 4",Open,Bridging the Financial Gap,Ang Xing Xian; Allen Forlemu; Christina Ongoma; Rahul Banerjee; Ivan Mortimer-Schutts; Kevin Lim; Maria Cristila Cabanting; Mushtaq Kapasi; Ognjen Kurtić; Samuel Gan; Tze Khai Poh; Sedef Nur Gunsur; Margrit Nzuki,"Tokenisation is transforming how capital markets operate, making the origination, issuance, and settlement of securities faster, more transparent, and more inclusive. For emerging markets and particularly SMEs, these innovations can unlock new pathways to finance, reduce costs, and build trust across the investment chain.
 
In this roundtable, we will explore how digital processes and distributed ledger technology are reshaping debt markets, from streamlining SME asset origination through IFC’s Digital Invoice Finance Origination (DIFO) initiative to the emerging use cases of tokenised bonds in Asia. Participants will share insights, challenge assumptions, and help define the next steps for scaling these solutions to deepen capital markets and expand financial inclusion.",,https://www.fintechfestival.sg/agenda/agn198-tokenised-capital-markets-opportunities-for-emerging-economies-and-smes
"Tue, 11 Nov","Tue, 11 Nov | 1:15 PM - 2:45 PM",UK-Singapore AI in Finance: Cross-regional AI growth,Insights Forum,"Roundtable Room 2, Sands Expo & Convention Centre, Level 4",Invite-Only,Roadmap for AI and Quantum,Amal Jolly; David Sully; Hamish Macalister; Harry Wang; Huang Weiwei; Frankie Phua; Lem Chin Kok; Philip Clements; Sang Hao Chung; Simran Singh; Wendy Wang; Jessica Rusu; Kenneth Gay,"This roundtable aims to improve the regulatory enablement of AI in Finance in the UK and Singapore. As global thought-leaders, The Financial Conduct Authority and the Monetary Authority of Singapore have various industry initiatives which enable and encourage the safe adoption of AI in the financial sector. The discussion, involving policymakers and industry leaders, will reflect on these initiatives and explore how regulators can go further in promoting innovation in their markets. It will also explore how the two regulators can collaborate to strengthen ties between the UK and Singaporean markets by providing safe avenues for firms to experiment cross-border. Senior discussants from the MAS and the FCA will facilitate the discussion, drawing from the expertise of leading players in the field from both countries.",本次圓桌論壇旨在改善英國與新加坡在AI金融應用方面的監管賦能環境。作為全球思想領袖，英國金融行為監管局（Financial Conduct Authority，FCA）與新加坡金融管理局（Monetary Authority of Singapore，MAS）已推出多項業界計劃，以促進並鼓勵金融業安全採用AI。本次討論將匯聚政策制定者與業界領袖，回顧既有計劃的成效，並探討監管機構如何進一步推動各自市場的創新。討論亦將探索兩大監管機構如何透過合作，為企業提供安全的跨境試驗渠道，從而深化英國與新加坡市場之間的聯繫。MAS及FCA的高階與會代表將主持本次討論，汲取兩國業界領先企業的專業見解。,https://www.fintechfestival.sg/agenda/agn183-uk-singapore-ai-in-finance-cross-regional-ai-growth
"Tue, 11 Nov","Tue, 11 Nov | 1:30 PM - 3:00 PM",Public blockchains in banking: Building trust in decentralised infrastructure,Insights Forum,"Roundtable Room 3, Sands Expo & Convention Centre, Level 4",Invite-Only,Blueprint for Digital Assets,Dea Markova; Deborah Algeo; Candace Kelly; Matthew Osborne; Michael Gao; Michael Maurer; Peter Kerstens; Toh Wee Kee; Vivian Clavel; Katie-Ann Wilson; Lewis McLellan,"As banks explore using public blockchains for tokenised deposits, stablecoins, and digital assets, new challenges arise: decentralised governance, protocol changes, and the absence of a clear accountable counterparty. This session will convene blockchain protocol developers and institutional partners to examine how banks can gain confidence in settlement, design contingency plans for governance risk, and build operational resilience on decentralised infrastructure. The conversation will focus on continuity, migration, and trust; moving beyond regulation to practical mitigation strategies that enable safe adoption at scale.

Topics for discussion include:

This session is Part 1 of a 2-part series on Public Blockchains in Banking. Read more about Part 2 of the discussion here.","隨著銀行業探索將公鏈用於代幣化存款、穩定幣及數位資產，新的挑戰隨之而來：去中心化治理、協議變更，以及缺乏明確且可問責的對口方。本場次將召集區塊鏈協議開發者與機構合作夥伴，探討銀行如何建立對結算的信心、設計治理風險的應急方案，並在去中心化基礎設施上建構運營韌性。討論將聚焦於業務連續性、遷移策略與信任建立，超越法規合規層面，深入探討能夠支持規模化安全應用的實務風險緩解策略。

討論議題包括：

本場次為「公鏈在銀行業中的應用」兩部分系列討論的第一部分。請參閱此處了解第二部分的詳細資訊。",https://www.fintechfestival.sg/agenda/agn83-public-blockchains-in-banking-building-trust-in-decentralised-infrastructure
"Tue, 11 Nov","Tue, 11 Nov | 1:30 PM - 2:30 PM",Thailand in Focus: ASEAN’s Growth Engine for the Digital Future - Powered by Krungsri Finnovate,Insights Forum,Launchpad Room,Open,Others,Palida Artispong; Clare Leighton; Chonladet Khemarattana; Ronald Kam,"The curation of content and speakers was wholly managed by Krungsri Finnovate and does not reflect the views of the organisers or its staff.

As ASEAN advances its digital and economic integration, Thailand is emerging as a strategic bridge connecting innovation, policy, and cross-border finance. Supported by a progressive regulatory environment led by the Bank of Thailand and advanced digital infrastructure such as PromptPay, the country has become a hub for inclusive innovation and regional financial connectivity.

This session brings together leading ecosystem enablers, financial institutions, and startups to explore how collaboration, forward-looking policy dialogue, and innovation are accelerating ASEAN’s next wave of digital and sustainable growth. The discussion will spotlight Thailand’s evolving fintech landscape and its growing role in shaping a trusted and connected regional digital economy.

Agenda:

1:30 pm – Welcome Note

1.35 pm – Keynote: “Thailand’s Role in ASEAN’s Digital Future”

1.45 pm – Panel: “Thailand in Focus: ASEAN’s Growth Engine for the Digital Future”

2.25 pm – Closing Remarks","本場次的內容策劃與講者邀請全由Krungsri Finnovate負責，不代表主辦單位或其工作人員的立場。

隨著ASEAN推進數位與經濟整合，泰國正逐漸成為連結創新、政策與跨境金融的戰略樞紐。在泰國銀行（Bank of Thailand）推動的進步型監管環境以及PromptPay等先進數位基礎設施的支撐下，泰國已成為包容性創新與區域金融互聯的重要據點。

本場次匯聚領先的生態系統推動者、金融機構與新創企業，共同探討合作、前瞻性政策對話與創新如何加速ASEAN下一波數位與永續發展浪潮。討論將聚焦泰國金融科技生態的演進，以及其在塑造值得信賴、高度互聯的區域數位經濟中日益重要的角色。

議程：

下午1:30 – 歡迎致詞

下午1:35 – 主題演講：「泰國在ASEAN數位未來中的角色」

下午1:45 – 小組討論：「聚焦泰國：ASEAN數位未來的成長引擎」

下午2:25 – 閉幕致詞",https://www.fintechfestival.sg/agenda/agn110-thailand-in-focus-aseans-growth-engine-for-the-digital-future-powered-by-krungsri-finnovate
